title,publicationTitle,DOI
"Impact of Water Chemistry, Pipe Material and Stagnation on the Building Plumbing Microbiome",PLoS ONE,10.1371/journal.pone.0141087
Identification of Fungal DNA Barcode Targets and PCR Primers Based on Pfam Protein Families and Taxonomic Hierarchy,The Open Applied Informatics Journal,10.2174/1874136301105010030
Identification accuracy and diversity reproducibility associated with internal transcribed spacer-based fungal taxonomic library preparation,Environmental Microbiology,10.1111/1462-2920.12338
Humans differ in their personal microbial cloud,PeerJ,10.7717/peerj.1258
Human Occupancy as a Source of Indoor Airborne Bacteria,PLoS ONE,10.1371/journal.pone.0034867
How Escherichia coli lands and forms cell clusters on a surface: a new role of surface topography,Scientific Reports,10.1038/srep29516
Home Life: Factors Structuring the Bacterial Diversity Found within and between Homes,PLoS ONE,10.1371/journal.pone.0064133
High-Resolution Microbial Community Succession of Microbially Induced Concrete Corrosion in Working Sanitary Manholes,PLoS ONE,10.1371/journal.pone.0116400
Hand bacterial communities vary across two different human populations,"Microbiology (Reading, England)",10.1099/mic.0.075390-0
Gut bacteria mediate aggregation in the German cockroach,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.1504031112
Growth and Morbidity of Gambian Infants are Influenced by Maternal Milk Oligosaccharides and Infant Gut Microbiota,Scientific Reports,10.1038/srep40466
Global Patterns of Bacterial Beta-Diversity in Seafloor and Seawater Ecosystems,PLoS ONE,10.1371/journal.pone.0024570
ghost-tree: creating hybrid-gene phylogenetic trees for diversity analyses,Microbiome,10.1186/s40168-016-0153-6
Geography and Location Are the Primary Drivers of Office Microbiome Composition,mSystems,10.1128/mSystems.00022-16
Genome assembly and geospatial phylogenomics of the bed bug Cimex lectularius,Nature Communications,10.1038/ncomms10164
Fungi Identify the Geographic Origin of Dust Samples,PLoS ONE,10.1371/journal.pone.0122605
FungiDB: an integrated functional genomics database for fungi,Nucleic Acids Research,10.1093/nar/gkr918
Fungal high-throughput taxonomic identification tool for use with next-generation sequencing (FHiTINGS),Journal of Basic Microbiology,10.1002/jobm.201200507
Fungal diversity and presence of potentially pathogenic fungi in a hospital hot water system treated with on-site monochloramine,Water Research,10.1016/j.watres.2014.12.052
Fungal and bacterial growth in floor dust at elevated relative humidity levels,Indoor Air,10.1111/ina.12313
Forensic analysis of the microbiome of phones and shoes,Microbiome,10.1186/s40168-015-0082-9
Five new <I>Penicillium</I> species in section <I>Sclerotiora</I>: a tribute to the Dutch Royal family,Persoonia - Molecular Phylogeny and Evolution of Fungi,10.3767/003158513X667410
"Feel the heat: Activation, orientation, and feeding responses of bed bugs to targets at different temperatures",The Journal of Experimental Biology,10.1242/jeb.143487
Evolution of the indoor biome,Trends in Ecology & Evolution,10.1016/j.tree.2015.02.001
Evolutionary origins and diversification of proteobacterial mutualists,Proceedings. Biological Sciences,10.1098/rspb.2013.2146
EMPeror: a tool for visualizing high-throughput microbial community data,GigaScience,10.1186/2047-217X-2-16
Emission rates and the personal cloud effect associated with particle release from the perihuman environment,Indoor Air,10.1111/ina.12365
Effect of temperature and colonization of <i>Legionella pneumophila</i> and <i>Vermamoeba vermiformis</i> on bacterial community composition of copper drinking water biofilms,Microbial Biotechnology,10.1111/1751-7915.12457
Effect of GAC pre-treatment and disinfectant on microbial community structure and opportunistic pathogen occurrence,Water Research,10.1016/j.watres.2013.06.052
"Effect of disinfectant, water age, and pipe materials on bacterial and eukaryotic community structure in drinking water biofilm",Environmental Science & Technology,10.1021/es402636u
Ecological Succession and Viability of Human-Associated Microbiota on Restroom Surfaces,Applied and Environmental Microbiology,10.1128/AEM.03117-14
"Draft Genome Sequences of <i>Pseudomonas moraviensis</i> UCD-KL30, <i>Vibrio ostreicida</i> UCD-KL16, <i>Colwellia</i> sp. Strain UCD-KL20, <i>Shewanella</i> sp. Strain UCD-KL12, and <i>Shewanella</i> sp. Strain UCD-KL21, Isolated from Seagrass",Genome Announcements,10.1128/genomeA.00023-17
Draft Genome Sequences of <i>Dermacoccus nishinomiyaensis</i> Strains UCD-KPL2534 and UCD-KPL2528 Isolated from an Indoor Track Facility,Genome Announcements,10.1128/genomeA.01652-16
Draft Genome Sequence of Leucobacter sp. Strain UCD-THU (Phylum Actinobacteria),Genome Announcements,10.1128/genomeA.00325-13
Draft Genome Sequence of Kocuria sp. Strain UCD-OTCP (Phylum Actinobacteria),Genome Announcements,10.1128/genomeA.00172-13
Draft Genome Sequence of Curtobacterium flaccumfaciens Strain UCD-AKU (Phylum Actinobacteria),Genome Announcements,10.1128/genomeA.00244-13
"Draft Genome Sequence of <i>Bacillus safensis</i> JPL-MERTA-8-2, Isolated from a Mars-Bound Spacecraft",Genome Announcements,10.1128/genomeA.01360-15
"Diversity of Penicillium section Citrina within the fynbos biome of South Africa, including a new species from a Protea repens infructescence",Mycologia,10.3852/13-256
Diversity and taxonomy of Chaetomium and chaetomium-like fungi from indoor environments,Studies in Mycology,10.1016/j.simyco.2016.11.005
Distribution System Water Quality Affects Responses of Opportunistic Pathogen Gene Markers in Household Water Heaters,Environmental Science & Technology,10.1021/acs.est.5b01538
Digital identifiers for fungal species,"Science (New York, N.Y.)",10.1126/science.aaf7115
Deciphering the uniqueness of Mucoromycotina cell walls by combining biochemical and phylogenomic approaches,Environmental Microbiology,10.1111/1462-2920.12601
Deblur Rapidly Resolves Single-Nucleotide Community Sequence Patterns,mSystems,10.1128/mSystems.00191-16
Culture-Independent Analysis of Aerosol Microbiology in a Metropolitan Subway System,Applied and Environmental Microbiology,10.1128/AEM.00331-13
"cual-id: Globally Unique, Correctable, and Human-Friendly Sample Identifiers for Comparative Omics Studies",mSystems,10.1128/mSystems.00010-15
Crowdfunding Campaigns Help Researchers Launch Projects and Generate Outreach,Journal of Microbiology & Biology Education,10.1128/jmbe.v17i1.1051
Contribution of vegetation to the microbial composition of nearby outdoor air,Applied and Environmental Microbiology,10.1128/AEM.00610-16
Contribution of human-related sources to indoor volatile organic compounds in a university classroom,Indoor Air,10.1111/ina.12272
Conjugation in <i>Escherichia coli</i> Biofilms on Poly(dimethylsiloxane) Surfaces with Microtopographic Patterns,Langmuir,10.1021/acs.langmuir.6b04679
Concentrations and Sources of Airborne Particles in a Neonatal Intensive Care Unit,PLoS ONE,10.1371/journal.pone.0154991
CLASI-FISH: Principles of Combinatorial Labeling and Spectral Imaging,Systematic and applied microbiology,10.1016/j.syapm.2012.03.004
Characterizing the bacterial communities in retail stores in the United States,Indoor Air,10.1111/ina.12273
Characterizing airborne fungal and bacterial concentrations and emission rates in six occupied children's classrooms,Indoor Air,10.1111/ina.12172
Characterization of the Carbohydrate Binding Module 18 gene family in the amphibian pathogen Batrachochytrium dendrobatidis,Fungal genetics and biology: FG & B,10.1016/j.fgb.2015.03.003
Characterization of Micrococcus strains isolated from indoor air,Molecular and Cellular Probes,10.1016/j.mcp.2011.09.003
Characterization of active and total fungal communities in the atmosphere over the Amazon rainforest,Biogeosciences,10.5194/bg-12-6337-2015
Characterization and quantification of the fungal microbiome in serial samples from individuals with cystic fibrosis,Microbiome,10.1186/2049-2618-2-40
Carbon dioxide and hydrogen sulfide associations with regional bacterial diversity patterns in microbially induced concrete corrosion,Environmental Science & Technology,10.1021/es500763e
Candidate phylum TM6 genome recovered from a hospital sink biofilm provides genomic insights into this uncultivated phylum,Proceedings of the National Academy of Sciences,10.1073/pnas.1219809110
"Buildings, Beneficial Microbes, and Health",Trends in Microbiology,10.1016/j.tim.2016.04.007
Bacterial communities on classroom surfaces vary with human contact,Microbiome,10.1186/2049-2618-2-7
Bacterial colonization and succession in a newly opened hospital,Science Translational Medicine,10.1126/scitranslmed.aah6500
A Unique Signal Distorts the Perception of Species Richness and Composition in High-Throughput Sequencing Surveys of Microbial Communities: a Case Study of Fungi in Indoor Dust,Microbial Ecology,10.1007/s00248-013-0266-4
A unified initiative to harness Earth's microbiomes,Science,10.1126/science.aac8480
Athletic equipment microbiota are shaped by interactions with human skin,Microbiome,10.1186/s40168-015-0088-3
A Taxonomic Revision of the Wallemia sebi Species Complex,PLoS ONE,10.1371/journal.pone.0125933
"A survey of xerophilic Aspergillus from indoor environment, including descriptions of two new section Aspergillus species producing eurotium-like sexual states",MycoKeys,10.3897/mycokeys.19.11161
A simple novel device for air sampling by electrokinetic capture,Microbiome,10.1186/s40168-015-0141-2
Architectural Design Drives the Biogeography of Indoor Bacterial Communities,PLoS ONE,10.1371/journal.pone.0087093
Antimicrobial Chemicals Are Associated with Elevated Antibiotic Resistance Genes in the Indoor Dust Microbiome,Environmental Science & Technology,10.1021/acs.est.6b00262
An improved Greengenes taxonomy with explicit ranks for ecological and evolutionary analyses of bacteria and archaea,The ISME Journal,10.1038/ismej.2011.139
A new perspective on microbial landscapes within food production,Current opinion in biotechnology,10.1016/j.copbio.2015.12.008
An emerging paradox: Toward a better understanding of the potential benefits and adversity of microbe exposures in the indoor environment,Indoor Air,10.1111/ina.12344
A Metagenomic Framework for the Study of Airborne Microbial Communities,PLOS ONE,10.1371/journal.pone.0081862
Airborne Bacterial Communities in Residences: Similarities and Differences with Fungi,PLoS ONE,10.1371/journal.pone.0091283
Accurate Estimation of Fungal Diversity and Abundance through Improved Lineage-Specific Primers Optimized for Illumina Amplicon Sequencing,Applied and Environmental Microbiology,10.1128/AEM.02576-16
